Country,Emissions
, M t C02e
China,12454.7110
United States,6673.4497
India,2379.1668
Russia,2199.1173
Japan,1353.3473
Brazil,1017.8745
Germany,894.0570
Indonesia,744.3403
Canada,738.3825
Mexico,733.0104
Iran,716.8149
South Korea,673.5412
Australia,580.0997
Saudi Arabia,546.8181
United Kingdom,546.2641
South Africa,510.2377
France,440.8485
Italy,420.8244
Turkey,408.4574
Ukraine,375.6670
Thailand,369.4310
Poland,361.1905
Argentina,334.2374
Pakistan,326.7740
Kazakhstan,313.7248
Spain,306.6117
Nigeria,304.0637
Malaysia,303.1518
Iraq,284.5679
Egypt,272.3785
Venezuela,268.4274
Vietnam,256.7606
Uzbekistan,225.7986
United Arab Emirates,221.4243
Kuwait,195.7803
Algeria,187.2679
Netherlands,186.7775
Philippines,171.6044
Bangladesh,163.6298
Colombia,159.5837
Angola,155.7220
Libya,133.0112
Ethiopia,123.3709
Czech Republic,120.9859
Belgium,113.4088
Turkmenistan,112.2850
Romania,109.4851
Chile,103.5626
Oman,101.7895
Myanmar,98.7527
Belarus,90.4979
Israel,89.5907
Greece,86.9692
Peru,86.2102
Cameroon,83.2755
Qatar,82.8463
Morocco,78.8839
Austria,78.4743
Tanzania,77.9457
New Zealand,75.0919
Azerbaijan,69.7221
Syria,65.8195
North Korea,63.8065
Finland,63.5322
Portugal,62.0311
Kenya,60.1371
Ireland,59.2123
Serbia,59.0182
Ecuador,58.2656
Hungary,56.9204
Bulgaria,54.8549
Singapore,52.9509
Denmark,52.8873
 Switzerland,51.5705
Sweden,50.8451
Zambia,50.1033
Central African Republic,49.2281
Bolivia,46.8039
Norway,46.5925
Cuba,46.5085
Afghanistan,44.4157
Slovakia,40.3202
Democratic Republic of the Congo,39.5590
Mongolia,38.6367
Sri Lanka,38.3764
Paraguay,37.5747
  Nepal,36.0311
Tunisia,35.6478
Yemen,35.5020
Uruguay,34.0277
Bahrain,33.4062
Uganda,33.3506
Dominican Republic,33.1665
Ivory Coast,31.9609
Ghana,30.8917
Jordan,30.8217
Mali,29.1982
Bosnia and Herzegovina,28.4488
Chad,28.4407
Mozambique,27.4629
Zimbabwe,27.4014
Cambodia,27.0972
Lebanon,26.9435
Guatemala,26.6116
Niger,26.6106
Madagascar,26.4428
Trinidad and Tobago,25.8122
Senegal,25.4859
Burkina Faso,23.5054
Croatia,23.4770
Estonia,23.3476
Honduras,21.1110
Equatorial Guinea,20.7597
Lithuania,19.3235
Brunei,19.0151
Slovenia,18.0226
Panama,17.0885
Guinea,16.4436
Papua New Guinea,16.4336
Kyrgyzstan,15.4959
Georgia,14.7952
Nicaragua,14.0877
Costa Rica,13.7952
Botswana,12.9246
Latvia,12.6443
Benin,12.1686
North Macedonia,12.0650
El Salvador,11.5955
Laos,11.4916
Moldova,11.4641
Luxembourg,11.2914
Namibia,11.2817
Mauritania,11.1908
Tajikistan,10.2444
Malawi,10.1260
Belize,9.6848
Jamaica,9.5010
Armenia,8.5935
Albania,8.3078
Haiti,8.0637
Gambia,7.4691
Gabon,7.3587
Republic of the Congo,6.9438
Cyprus,6.9364
Sierra Leone,6.7302
Eritrea,6.6813
Rwanda,6.6307
Togo,6.5823
Mauritius,5.6704
Lesotho,4.2026
Guyana,4.0547
Barbados,3.5448
Bahamas,3.4083
Montenegro,3.3881
Suriname,3.3542
Burundi,3.0465
Malta,2.9785
Iceland,2.9290
Swaziland,2.8598
Fiji,2.7564
Liberia,2.1519
Grenada,2.0022
Guinea-Bissau,1.9723
Bhutan,1.4583
Djibouti,1.3934
Maldives,1.1360
Saint Lucia,1.1330
Antigua and Barbuda,1.0993
Seychelles,0.7113
Vanuatu,0.6735
Cape Verde,0.6000
Solomon Islands,0.5595
Samoa,0.5099
Saint Kitts and Nevis,0.4262
Tonga,0.4116
Comoros,0.4038
Palau,0.3576
Saint Vincent and the Grenadines,0.2753
Dominica,0.2399
São Tomé and Príncipe,0.1887
Cook Islands,0.1092
Niue,0.0912
Kiribati,0.0844
Nauru,0.0498
